"time","area","value"
"2025-01-06 10:00:00.000 +0000",NO3,42.0
"2025-01-06 10:00:00.000 +0000",SE2,42.0
"2025-01-06 10:00:00.000 +0000",SE3,42.0
"2025-01-06 11:00:00.000 +0000",NO3,42.0
"2025-01-06 11:00:00.000 +0000",SE2,42.0
"2025-01-06 11:00:00.000 +0000",SE3,42.0
"2025-01-06 12:00:00.000 +0000",NO3,36.0
"2025-01-06 12:00:00.000 +0000",SE2,36.0
"2025-01-06 12:00:00.000 +0000",SE3,36.0
"2025-01-06 13:00:00.000 +0000",NO3,36.0
"2025-01-06 13:00:00.000 +0000",SE2,36.0
"2025-01-06 13:00:00.000 +0000",SE3,36.0
"2025-01-06 14:00:00.000 +0000",NO3,35.0
"2025-01-06 14:00:00.000 +0000",SE2,35.0
"2025-01-06 14:00:00.000 +0000",SE3,35.0
"2025-01-06 15:00:00.000 +0000",NO3,39.0
"2025-01-06 15:00:00.000 +0000",SE2,39.0
"2025-01-06 15:00:00.000 +0000",SE3,39.0
"2025-01-06 16:00:00.000 +0000",NO3,40.0
"2025-01-06 16:00:00.000 +0000",SE2,40.0
"2025-01-06 16:00:00.000 +0000",SE3,40.0
"2025-01-06 17:00:00.000 +0000",NO3,42.0
"2025-01-06 17:00:00.000 +0000",SE2,42.0
"2025-01-06 17:00:00.000 +0000",SE3,42.0
"2025-01-06 18:00:00.000 +0000",NO3,42.5
"2025-01-06 18:00:00.000 +0000",SE2,42.5
"2025-01-06 18:00:00.000 +0000",SE3,42.5
"2025-01-06 19:00:00.000 +0000",NO3,41.0
"2025-01-06 19:00:00.000 +0000",SE2,41.0
"2025-01-06 19:00:00.000 +0000",SE3,41.0
"2025-01-06 20:00:00.000 +0000",NO3,41.0
"2025-01-06 20:00:00.000 +0000",SE2,41.0
"2025-01-06 20:00:00.000 +0000",SE3,41.0
"2025-01-06 21:00:00.000 +0000",NO3,23.0
"2025-01-06 21:00:00.000 +0000",SE2,23.0
"2025-01-06 21:00:00.000 +0000",SE3,23.0
"2025-01-06 22:00:00.000 +0000",NO3,22.74
"2025-01-06 22:00:00.000 +0000",SE2,22.74
"2025-01-06 22:00:00.000 +0000",SE3,22.74
"2025-01-06 23:00:00.000 +0000",NO3,22.73
"2025-01-06 23:00:00.000 +0000",SE2,22.73
"2025-01-06 23:00:00.000 +0000",SE3,22.73
"2025-01-07 00:00:00.000 +0000",NO3,18.0
"2025-01-07 00:00:00.000 +0000",SE2,18.0
"2025-01-07 00:00:00.000 +0000",SE3,18.0
"2025-01-07 01:00:00.000 +0000",NO3,20.0
"2025-01-07 01:00:00.000 +0000",SE2,20.0
"2025-01-07 01:00:00.000 +0000",SE3,20.0
"2025-01-07 02:00:00.000 +0000",NO3,20.0
"2025-01-07 02:00:00.000 +0000",SE2,20.0
"2025-01-07 02:00:00.000 +0000",SE3,20.0
"2025-01-07 03:00:00.000 +0000",NO3,24.5
"2025-01-07 03:00:00.000 +0000",SE2,24.5
"2025-01-07 03:00:00.000 +0000",SE3,24.5
"2025-01-07 04:00:00.000 +0000",NO3,29.0
"2025-01-07 04:00:00.000 +0000",SE2,29.0
"2025-01-07 04:00:00.000 +0000",SE3,29.0
"2025-01-07 05:00:00.000 +0000",NO3,25.0
"2025-01-07 05:00:00.000 +0000",SE2,25.0
"2025-01-07 05:00:00.000 +0000",SE3,27.85
"2025-01-07 06:00:00.000 +0000",NO3,36.0
"2025-01-07 06:00:00.000 +0000",SE2,36.0
"2025-01-07 06:00:00.000 +0000",SE3,36.07
"2025-01-07 07:00:00.000 +0000",NO3,43.0
"2025-01-07 07:00:00.000 +0000",SE2,43.0
"2025-01-07 07:00:00.000 +0000",SE3,43.0
"2025-01-07 08:00:00.000 +0000",NO3,42.5
"2025-01-07 08:00:00.000 +0000",SE2,42.5
"2025-01-07 08:00:00.000 +0000",SE3,42.5
"2025-01-07 09:00:00.000 +0000",NO3,24.0
"2025-01-07 09:00:00.000 +0000",SE2,24.0
"2025-01-07 09:00:00.000 +0000",SE3,41.5
"2025-01-07 10:00:00.000 +0000",NO3,24.0
"2025-01-07 10:00:00.000 +0000",SE2,24.0
"2025-01-07 10:00:00.000 +0000",SE3,41.0
"2025-01-07 11:00:00.000 +0000",NO3,24.0
"2025-01-07 11:00:00.000 +0000",SE2,24.0
"2025-01-07 11:00:00.000 +0000",SE3,41.0
"2025-01-07 12:00:00.000 +0000",SE3,40.5
"2025-01-07 12:00:00.000 +0000",NO3,9.0
"2025-01-07 12:00:00.000 +0000",SE2,9.0
"2025-01-07 13:00:00.000 +0000",NO3,9.0
"2025-01-07 13:00:00.000 +0000",SE3,40.5
"2025-01-07 13:00:00.000 +0000",SE2,9.0
"2025-01-07 14:00:00.000 +0000",NO3,8.32
"2025-01-07 14:00:00.000 +0000",SE2,6.9
"2025-01-07 14:00:00.000 +0000",SE3,40.5
"2025-01-07 15:00:00.000 +0000",NO3,8.06
"2025-01-07 15:00:00.000 +0000",SE2,6.88
"2025-01-07 15:00:00.000 +0000",SE3,40.0
"2025-01-07 16:00:00.000 +0000",NO3,8.74
"2025-01-07 16:00:00.000 +0000",SE2,6.2
"2025-01-07 16:00:00.000 +0000",SE3,42.0
"2025-01-07 17:00:00.000 +0000",NO3,8.11
"2025-01-07 17:00:00.000 +0000",SE2,6.93
"2025-01-07 17:00:00.000 +0000",SE3,42.0
"2025-01-07 18:00:00.000 +0000",NO3,3.5
"2025-01-07 18:00:00.000 +0000",SE2,3.5
"2025-01-07 18:00:00.000 +0000",SE3,42.0
"2025-01-07 19:00:00.000 +0000",NO3,3.5
"2025-01-07 19:00:00.000 +0000",SE2,3.5
"2025-01-07 19:00:00.000 +0000",SE3,40.5
"2025-01-07 20:00:00.000 +0000",NO3,6.02
"2025-01-07 20:00:00.000 +0000",SE2,5.98
"2025-01-07 20:00:00.000 +0000",SE3,39.5
