"time","area","value"
"2025-01-07 14:00:00.000 +0000",NO3,8.32
"2025-01-07 15:00:00.000 +0000",SE3,29.02
"2025-01-07 15:00:00.000 +0000",SE2,6.88
"2025-01-07 15:00:00.000 +0000",NO3,8.06
"2025-01-07 16:00:00.000 +0000",SE3,29.49
"2025-01-07 16:00:00.000 +0000",SE2,6.2
"2025-01-07 16:00:00.000 +0000",NO3,8.74
"2025-01-07 17:00:00.000 +0000",SE3,26.87
"2025-01-07 17:00:00.000 +0000",SE2,6.93
"2025-01-07 17:00:00.000 +0000",NO3,8.11
"2025-01-07 18:00:00.000 +0000",SE3,20.55
"2025-01-07 18:00:00.000 +0000",SE2,7.14
"2025-01-07 18:00:00.000 +0000",NO3,6.77
"2025-01-07 19:00:00.000 +0000",SE3,14.78
"2025-01-07 19:00:00.000 +0000",SE2,5.99
"2025-01-07 19:00:00.000 +0000",NO3,6.21
"2025-01-07 20:00:00.000 +0000",SE3,6.15
"2025-01-07 20:00:00.000 +0000",SE2,5.98
"2025-01-07 20:00:00.000 +0000",NO3,6.02
"2025-01-07 21:00:00.000 +0000",SE3,4.92
"2025-01-07 21:00:00.000 +0000",SE2,5.08
"2025-01-07 21:00:00.000 +0000",NO3,7.09
